Kingdom Phylum Class Order Family Genus Species
ASV185 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV186 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV187 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV188 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Durusdinium s__D1_AF334660
ASV189 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV190 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV191 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV192 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV193 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV194 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV195 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV196 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV197 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV198 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV199 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV200 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV201 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV202 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV203 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV204 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV205 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV206 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV207 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV208 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV209 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV210 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV211 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV212 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV213 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV214 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV215 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV216 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV217 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV218 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV219 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV220 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV221 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV222 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV223 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV224 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV225 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV226 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV227 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV228 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV229 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV230 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV231 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae g__Cladocopium NA
ASV232 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
ASV233 k__Chromista p__Myzozoa c__Dinophyceae o__Suessiales f__Symbiodiniaceae NA NA
