#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI15bFSYM154	KI15bFSYM154_MERGED-MAX-MISMATCH-3	109	coral	2015May	154	Pocillopora_eydouxi	35	dead	2015May
KI15bFSYM030	KI15bFSYM030_MERGED-MAX-MISMATCH-3	110	coral	2015May	30	Montipora_foliosa	35	dead	2015May
KI15bFSYM034	KI15bFSYM034_MERGED-MAX-MISMATCH-3	116	coral	2015May	34	Pocillopora_eydouxi	35	dead	2015May
KI15bFSYM035	KI15bFSYM035_MERGED-MAX-MISMATCH-3	119	coral	2015May	35	Porites_lobata	35	gone	2015May
KI15bFSYM036	KI15bFSYM036_MERGED-MAX-MISMATCH-3	120	coral	2015May	36	Pocillopora_eydouxi	35	dead	2015May
KI15bFSYM160	KI15bFSYM160_MERGED-MAX-MISMATCH-3	123	coral	2015May	160	Pocillopora_eydouxi	35	gone	2015May
KI14FSYM126	KI14FSYM126_MERGED-MAX-MISMATCH-3	126	coral	2014	126	Porites_lobata	30	UK	2014
KI14FSYM129	KI14FSYM129_MERGED-MAX-MISMATCH-3	129	coral	2014	129	Pocillopora_eydouxi	30	alive	2014
KI15aFSYM127	KI15aFSYM127_MERGED-MAX-MISMATCH-3	129	coral	2015Jan	127	Pocillopora_eydouxi	30	alive	2015Jan_Post
KI15bFSYM040	KI15bFSYM040_MERGED-MAX-MISMATCH-3	129	coral	2015May	40	Pocillopora_eydouxi	30	alive	2015May
KI14FSYM131	KI14FSYM131_MERGED-MAX-MISMATCH-3	131	coral	2014	131	Porites_lobata	30	UK	2014
KI15aFSYM126	KI15aFSYM126_MERGED-MAX-MISMATCH-3	131	coral	2015Jan	126	Porites_lobata	30	UK	2015Jan_Post
KI15bFSYM041	KI15bFSYM041_MERGED-MAX-MISMATCH-3	131	coral	2015May	41	Porites_lobata	30	UK	2015May
KI14FSYM132	KI14FSYM132_MERGED-MAX-MISMATCH-3	132	coral	2014	132	Pocillopora_eydouxi	30	dead	2014
KI15aFSYM128	KI15aFSYM128_MERGED-MAX-MISMATCH-3	132	coral	2015Jan	128	Pocillopora_eydouxi	30	dead	2015Jan_Post
KI15bFSYM037	KI15bFSYM037_MERGED-MAX-MISMATCH-3	132	coral	2015May	37	Pocillopora_eydouxi	30	dead	2015May
KI14FSYM133	KI14FSYM133_MERGED-MAX-MISMATCH-3	133	coral	2014	133	Montipora_foliosa	30	gone	2014
KI15aFSYM129	KI15aFSYM129_MERGED-MAX-MISMATCH-3	133	coral	2015Jan	129	Montipora_foliosa	30	gone	2015Jan_Post
KI15bFSYM129	KI15bFSYM129_MERGED-MAX-MISMATCH-3	133	coral	2015May	129	Montipora_foliosa	30	gone	2015May
